1|Reetinder.Ang|Toshiko.Thoben@rpi.edu|Basuki.Eliens@uta.edu|H|Jawahar.Greenbaum@duke.edu
2|Parick.Gentina@um|Kamran.Holthofer@sbphrd.com|Guoxiang.Tiemann@uwaterlo|Debasish.Gutleber@mitre.org|Asao.Isard@uni-freiburg.de
3|Senol.Sere|Jozo.|Jacky.Semmens@washing|Udaiprakash.Yoshii@edu.au|Gugjon.Ziegert@hita
4|Pintsang.Dippoldsmann@duke.edu|Gennadi.Dana@brown.edu|Xiadong.Stac|Traugot.Schroeder@uwindsor.ca|Kaivalya.Yamaashi@uic.edu
5|Jouko.Nutt@edu.hk|Volkhard.Kukimoto@lante.com|Dexter.Gorz|Remmert.Berc@rwth-aachen.de|Murlidhar.Dewey@att
6|Femi.Birnbaum@yorku.ca|Mirek.Zetterberg@berkeley.edu|Abdelhakim.Coe@dec.com|Vimla.Paritong@rwth-aachen.de|Kathleen
7|Nevenka.Melcarne@brandeis.edu|Rondall.Horiguchi@zambeel.com|Gabriel.Musil@airmail.net|Yosihisa.Templeman@lehner.net|Lushen.Gunthor@ac.kr
8|Gowri.Reiz@inria.fr|Quinlong.Elphick@filelmaker.com|Chyuan.Sadowski@wpi.edu|Lipo.Crona|Gh
9|Francoise.Heberlei|Zhenbing.Lanet@emc.com|Dexter.Inari@ncr.com|Padmashree.Gora@rice.edu|Lurdes.Holsheimer@ufl.edu
10|Herward.Bramson@columbia.edu|Ting.Gurla@msstate.edu|Siddharth.Beth@ntua.gr|Makato.Tedrick@emc.com|Kenny.Flokstra@savera.com
