1|Vasudevan.Kankaanpaa@gmu.edu|Yaw.Amo@|18|49|44
2|Junsheng.Oestreicher@filelmaker.com|Giridharan.Eversberg@wpi.edu|39|35|3
3|Pabitra.Jarzembsk|Krys.Mynard@telcordia.com|23|23|8
4|Lenka.Torlone@unl.edu|Mattias.Lagew|43|24|46
5|Miron.Tolle@unical.it|Tilo.Hodel@wisc.edu|40|2|22
6|Shouji.Wettschereck@tue.nl|Allen.Kakkar@crossga|14|19|37
7|Keiko.|Emilio.Protzen@uwaterloo.ca|0|28|2
8|K|Rani.Gudjonsson@propel.com|7|33|38
9|Iordana.Yaku@utexas.edu|Kehsiung.Schmill@cornell.edu|25|22|0
10|Xien.Hickm|Tatsurou.Denecker@unical.it|37|12|24
