1|Shugo.Sippu|11|Arie.Preus@monmouth.edu|5|16
2|Astrid.Krzesinski@umb.edu|1|Miloslav.Gutz@sds.no|4|45
3|Joanthan.Himmeroder@uu.se|0|Driss.Simovich@gte.com|12|13
4|Gardner.Matzen@neu.edu|35|Vince|26|28
5|Toshimitsu.Calkins@ufl.edu|42|Yukiyoshi.Ezeiza@wpi.edu|15|36
6|Chengqi.Wygladala|13|Tetsuhiko.Kaltofen@neu.edu|31|11
7|Nagisa.Piens@gatech.edu|10|Dongmyun.Theel@cnr.it|2|5
8|Pavlin.Smaragdakis@brown.edu|31|Taizo.Birsak@uiuc.edu|33|39
9|Nomi.Cagley@monmouth.edu|33|Houtan|10|44
10|Kr|2|Gail.Lenkov@ucr.edu|40|15
