1|Afonso.Mitton@cohera.com|46|Marcela.Clouse@unl.edu|6|Faron.Kerstetter@lri.fr
2|Shawn.Hylton@nodak.edu|3|Debashis.Rivals@oracle.com|26|Mert.Boxall@compaq.com
3|Haj.Kinariwala@oracle.com|16|Kiyomitsu.Padegs@versata.com|40|Itsuo.Schroeder@ucd.ie
4|Junzhong.Kitai@cas.|21|Leonor.Tietavainen@ufl|27|Tats
5|Devika.Bruhl@ac.be|3|Little.Blakeman@newpaltz.edu|49|Zoran.Wo
6|Lunjiang.Menhoudj@ufl.edu|13|Swati.Gartshore@mitre.org|1|Swee.Yad
7|Xiaocheng.Preteux@smu.edu|34|Tzusheng.Esparza@sdsc.edu|41|Thibault.Biros@cwi.nl
8|Raimond.Chuan@cwi.nl|23|Arkady.Heckmann@|13|Otilia.Eidelson@rutgers.edu
9|Adwait|12|Rogelio.Gruenberg@nyu.edu|21|Saila.Bregler@ntua.gr
10|Sayde|29|Naixun.Slutz|5|Lorien.Gurr@unbc.ca
